variant,psi_scale,ld_scale,lq_scale,vdc_scale,imax_scale,psi_f_wb,ld_h,lq_h,saliency_ratio,vdc_v,imax_a,score,low_peak_id_a,low_peak_iq_a,low_peak_torque_nm,low_peak_current_a,low_peak_voltage_v,low_peak_voltage_margin_v,low_peak_current_margin_a,low_peak_copper_loss_w,low_peak_feasible,high_target_id_a,high_target_iq_a,high_target_torque_nm,high_target_current_a,high_target_voltage_v,high_target_voltage_margin_v,high_target_current_margin_a,high_target_copper_loss_w,high_target_feasible,high_max_id_a,high_max_iq_a,high_max_torque_nm,high_max_current_a,high_max_voltage_v,high_max_voltage_margin_v,high_max_current_margin_a,high_max_copper_loss_w,high_max_feasible
psi0.85_ld0.80_lq1.00_vdc1.15_imax1.15,0.85,0.8,1.0,1.15,1.15,0.04675,0.000144,0.00042,2.9166666666666665,413.99999999999994,299.0,-0.8424096044982843,-133.0,200.0,100.1496,240.18534509832193,43.95195371934809,195.07105772515698,58.81465490167807,3028.6724999999997,True,-195.0,100.0,60.34199999999999,219.14607000811125,238.69233704900336,0.33067439550171684,79.85392999188875,2521.312499999999,True,-279.0,106.0,78.70754399999998,298.45770219580527,236.4213672081737,2.601644236331367,0.5422978041947317,4676.5425,True
psi0.70_ld0.80_lq1.00_vdc1.15_imax1.15,0.7,0.8,1.0,1.15,1.15,0.0385,0.000144,0.00042,2.9166666666666665,413.99999999999994,299.0,-1.2499566035008058,-151.0,208.0,100.05964799999998,257.0311265197272,44.2520448920337,194.77096655247138,41.968873480272805,3468.4125000000004,True,-203.0,106.0,60.11980799999999,229.0087334579186,236.30164204800587,2.721369396499199,69.9912665420814,2753.3624999999997,True,-277.0,108.0,74.48889599999998,297.30960293942746,237.7207248812455,1.302286563259571,1.6903970605725362,4640.632500000001,True
psi1.00_ld0.80_lq1.00_vdc1.15_imax1.00,1.0,0.8,1.0,1.15,1.0,0.055,0.000144,0.00042,2.9166666666666665,413.99999999999994,260.0,-1.4340738451504809,-112.0,194.0,100.00156799999999,224.0089283934906,44.49910523112775,194.52390621337733,35.991071606509394,2634.45,True,-204.0,90.0,60.10416,222.97085011274456,237.22656528965555,1.7964461548495194,37.02914988725544,2610.0899999999997,True,-240.0,96.0,69.83424,258.48791074245617,236.23821863010141,2.7847928144036587,1.5120892575438347,3507.8399999999992,True
psi1.00_ld1.20_lq1.30_vdc1.15_imax1.15,1.0,1.2,1.3,1.15,1.15,0.055,0.00021600000000000002,0.000546,2.5277777777777777,413.99999999999994,299.0,-1.5098387476583515,-111.0,182.0,100.05995999999999,213.17832910500073,49.458680076539665,189.5643313679654,85.82167089499927,2385.8625,True,-207.0,82.0,60.668519999999994,222.64994947226015,238.62029019216342,0.40272125234164946,76.35005052773985,2602.5824999999995,True,-287.0,82.0,73.65732,298.4845054605012,237.29881003182848,1.7242014126765923,0.5154945394987749,4677.3825,True
psi0.85_ld0.80_lq1.60_vdc1.15_imax1.00,0.85,0.8,1.6,1.15,1.0,0.04675,0.000144,0.0006720000000000001,4.666666666666667,413.99999999999994,260.0,-1.732040491620232,-114.0,156.0,100.097712,193.21490625725542,51.23092869967456,187.7920827448305,66.78509374274458,1959.9299999999996,True,-212.0,64.0,60.935424,221.44976857066254,238.7822419361253,0.2407695083797705,38.55023142933746,2574.6000000000004,True,-250.0,66.0,70.785,258.5652722234755,238.44052952047758,0.5824819240274905,1.4347277765244826,3509.9399999999987,True
psi0.70_ld0.80_lq1.30_vdc1.15_imax1.00,0.7,0.8,1.3,1.15,1.0,0.0385,0.000144,0.000546,3.791666666666667,413.99999999999994,260.0,-1.8441109547432042,-140.0,176.0,100.08768,224.89108474992955,47.22673798128902,191.79627346321604,35.10891525007045,2655.2399999999993,True,-208.0,82.0,60.08107199999999,223.5799633240868,236.80711839924828,2.2158930452567915,36.420036675913195,2624.37,True,-246.0,82.0,67.59686400000001,259.3067681338071,234.37661922527323,4.646392219231842,0.6932318661928889,3530.1000000000004,True
psi1.00_ld1.00_lq1.60_vdc1.15_imax1.00,1.0,1.0,1.6,1.15,1.0,0.055,0.00018,0.0006720000000000001,3.7333333333333334,413.99999999999994,260.0,-1.953044696107499,-106.0,156.0,100.294272,188.60540819393276,51.849294446495136,187.17371699800992,71.39459180606724,1867.5299999999997,True,-216.0,64.0,61.928448,225.28204544525957,238.73403614061257,0.28897530389249937,34.71795455474043,2664.479999999999,True,-250.0,66.0,70.488,258.5652722234755,237.5779116184727,1.4450998260323615,1.4347277765244826,3509.9399999999987,True
psi0.70_ld1.00_lq1.60_vdc1.15_imax1.15,0.7,1.0,1.6,1.15,1.15,0.0385,0.00018,0.0006720000000000001,3.7333333333333334,413.99999999999994,299.0,-2.220582653158271,-131.0,162.0,100.069344,208.33866659840174,51.58195187193262,187.44105957257244,90.66133340159826,2278.7625,True,-221.0,68.0,60.07065600000001,231.22499864850255,237.46275609766334,1.5602553468417284,67.77500135149745,2806.9125000000004,True,-291.0,64.0,69.76204800000001,297.9546945426435,236.22451005332644,2.7985013911786325,1.0453054573565055,4660.7925,True
psi0.85_ld0.80_lq1.30_vdc1.15_imax1.00,0.85,0.8,1.3,1.15,1.0,0.04675,0.000144,0.000546,3.791666666666667,413.99999999999994,260.0,-2.29156490595925,-122.0,174.0,100.008936,212.5088233462319,47.71931394187785,191.30369750262722,47.49117665376809,2370.8999999999996,True,-204.0,78.0,60.25874400000001,218.40329667841556,238.84131635046433,0.18169509404074802,41.59670332158444,2504.2499999999995,True,-246.0,80.0,69.90816000000001,258.68127106537884,235.8582914339035,3.1647200106015703,1.3187289346211628,3513.0899999999992,True
psi0.85_ld1.20_lq1.60_vdc1.15_imax1.15,0.85,1.2,1.6,1.15,1.15,0.04675,0.00021600000000000002,0.0006720000000000001,3.111111111111111,413.99999999999994,299.0,-2.30505897985541,-121.0,164.0,100.295184,203.8062805705457,52.40873056364566,186.6142808808594,95.19371942945429,2180.6925,True,-221.0,68.0,60.190608,231.22499864850255,237.4421244243605,1.580887020144587,67.77500135149745,2806.9125000000004,True,-289.0,64.0,68.55705600000002,296.00168918436935,238.89232688431375,0.13068456019132668,2.9983108156306457,4599.892499999999,True
